country	year	indigenous_cases	plasmodium_falciparum_cases	plasmodium_vivax_cases	mixed_cases	other_cases	imported_cases	introduced_cases
Sierra_Leone	2017	1651236	1651236	NA	NA	NA	NA	NA
Sierra_Leone	2018	1733831	1733831	NA	NA	NA	NA	NA
Sierra_Leone	2019	2407505	2407505	NA	NA	NA	NA	NA
Sierra_Leone	2020	725006	725006	NA	NA	NA	NA	NA
Sierra_Leone	2021	1953902	1953902	NA	NA	NA	NA	NA
Uganda	2010	1666582	1565348	15812	47435	NA	NA	NA
Uganda	2011	316241	316241	NA	NA	NA	NA	NA
Uganda	2012	2662258	2662258	NA	NA	NA	NA	NA
Uganda	2013	1502362	1502362	NA	NA	NA	NA	NA
Uganda	2014	3631939	3631939	NA	NA	NA	NA	NA
Uganda	2015	7412747	7137662	NA	NA	NA	NA	NA
Uganda	2016	9735849	9385132	NA	NA	NA	NA	NA
Uganda	2017	11667831	11667831	NA	NA	NA	NA	NA
Uganda	2018	5759174	5759174	NA	NA	NA	NA	NA
Uganda	2019	13982362	13982362	NA	NA	NA	NA	NA
Uganda	2020	16329136	16329136	NA	NA	NA	NA	NA
Uganda	2021	14336387	14336387	NA	NA	NA	NA	NA
Tanzania	2010	1279362	1279362	NA	NA	NA	NA	NA
Tanzania	2011	2151236	1817668	NA	NA	NA	NA	NA
Tanzania	2012	1987629	1774792	NA	201	NA	NA	NA
Tanzania	2013	1554117	71132	NA	NA	NA	719	NA
Tanzania	2014	680442	108844	NA	NA	NA	1583	NA
Tanzania	2015	4900278	413633	NA	NA	NA	2550	NA
Tanzania	2016	5762462	5015	NA	89	NA	NA	NA
Tanzania	2017	5744907	1733	NA	1606	10	NA	NA
Tanzania	2018	6051844	1462	NA	NA	NA	1754	0
Tanzania	2019	5908168	1338	12	132	65	3286	0
Tanzania	2020	5969953	5674847	NA	2000	208	4314	0
Tanzania	2021	4452499	4452135	NA	363	NA	4319	NA
Philippines	2010	19102	11824	2885	214	175	NA	NA
Philippines	2011	9583	6877	2380	166	127	NA	NA
Philippines	2012	8086	4774	2189	NA	0	NA	NA
Philippines	2013	7720	4968	1357	83	0	NA	NA
Philippines	2014	6019	3760	834	235	74	68	NA
Philippines	2015	11325	4769	755	195	87	85	NA
Philippines	2016	6625	5282	816	388	139	55	NA
Philippines	2017	6737	3258	551	83	40	69	NA
Philippines	2018	4559	1310	116	22	47	82	NA
Philippines	2019	5681	5034	537	80	48	95	NA
Philippines	2020	6094	5234	736	88	37	26	NA
Philippines	2021	4262	3347	703	185	27	35	NA
Korea	2010	1267	NA	NA	NA	0	56	1
Korea	2011	505	NA	NA	NA	0	64	0
Korea	2012	394	NA	NA	NA	0	47	0
Korea	2013	383	NA	383	NA	0	50	NA
Korea	2014	557	NA	557	NA	0	78	NA
Korea	2015	627	0	627	0	0	79	0
Korea	2016	602	0	602	0	0	71	0
Korea	2017	436	0	436	0	0	79	0
Korea	2018	501	0	501	0	0	75	0
Korea	2019	485	0	485	0	0	74	0
Korea	2020	356	0	356	0	0	29	NA
Korea	2021	274	0	274	0	0	20	NA
Solomon_Islands	2010	39704	22892	12281	200	0	NA	NA
Solomon_Islands	2011	26657	14454	8665	83	0	NA	NA
Solomon_Islands	2012	24383	14748	9339	232	0	NA	NA
Solomon_Islands	2013	25609	13194	11628	446	0	NA	NA
Solomon_Islands	2014	18404	9835	7845	724	0	NA	NA
Solomon_Islands	2015	23998	10478	12150	1370	0	NA	NA
Solomon_Islands	2016	54432	16607	33060	4719	46	NA	NA
Solomon_Islands	2017	52519	15400	30169	6917	33	NA	NA
Solomon_Islands	2018	59191	15771	35072	8341	7	NA	NA
Solomon_Islands	2019	72767	15595	47164	9979	27	NA	NA
Solomon_Islands	2020	77637	14753	52039	10813	32	NA	NA
Solomon_Islands	2021	84139	22057	57095	4943	44	NA	NA
Viet_Nam	2010	17515	12763	4466	286	0	NA	NA
Viet_Nam	2011	16612	10101	5602	909	0	NA	NA
Viet_Nam	2012	19638	11448	7220	970	0	NA	NA
Viet_Nam	2013	17128	9532	6901	695	0	NA	NA
Viet_Nam	2014	15752	8245	7220	287	0	NA	NA
Viet_Nam	2015	9331	4327	4756	234	14	NA	NA
Viet_Nam	2016	4161	2323	1750	73	15	NA	NA
Viet_Nam	2017	4548	2858	1608	70	12	NA	NA
Viet_Nam	2018	3132	2966	1751	83	0	1681	NA
Viet_Nam	2019	32004	3110	1514	33	10	1565	NA
Viet_Nam	2020	1376	792	573	11	0	46	NA
Viet_Nam	2021	377	142	233	0	2	90	NA
Colombia	2010	117650	32900	83255	1434	48	NA	NA
Colombia	2011	64436	14650	44701	754	16	NA	NA
Colombia	2012	60179	15215	44283	672	9	NA	NA
Colombia	2013	51722	17650	33345	690	11	NA	NA
Colombia	2014	40768	20067	20129	567	5	NA	NA
Colombia	2015	55334	27875	19002	739	0	7785	NA
Colombia	2016	82609	47232	32635	2742	0	618	NA
Colombia	2017	52805	29558	22132	1115	0	1297	NA
Colombia	2018	61195	29953	30063	1179	0	1948	NA
Colombia	2019	78109	40074	37197	838	0	2306	NA
Colombia	2020	75779	21935	22260	787	0	457	NA
Colombia	2021	73221	19847	18424	468	9	758	NA
Ecuador	2010	1888	258	1630	NA	NA	NA	NA
Ecuador	2011	1219	290	928	NA	NA	14	NA
Ecuador	2012	544	78	466	NA	NA	14	NA
Ecuador	2013	368	160	208	NA	NA	10	NA
Ecuador	2014	242	40	202	NA	NA	NA	NA
Ecuador	2015	618	184	434	NA	NA	59	NA
Ecuador	2016	1191	403	788	NA	NA	233	NA
Ecuador	2017	1275	309	963	3	NA	105	NA
Ecuador	2018	1653	149	1504	NA	NA	153	NA
Ecuador	2019	1803	211	1592	NA	NA	106	NA
Ecuador	2020	1934	214	1715	5	NA	67	NA
Ecuador	2021	2175	445	1728	2	NA	70	NA
French_Guiana	2010	1632	987	476	561	5	NA	NA
French_Guiana	2011	1209	584	339	496	5	NA	NA
French_Guiana	2012	900	382	257	381	2	NA	NA
French_Guiana	2013	875	304	220	348	0	NA	NA
French_Guiana	2014	448	136	129	182	1	NA	NA
French_Guiana	2015	374	61	194	119	NA	60	NA
French_Guiana	2016	217	55	95	67	NA	41	NA
French_Guiana	2017	554	62	368	124	NA	43	NA
French_Guiana	2018	546	49	496	NA	1	NA	NA
French_Guiana	2019	212	17	193	0	2	36	NA
French_Guiana	2020	140	3	137	0	0	14	NA
French_Guiana	2021	74	1	72	0	1	37	NA
Guatemala	2010	7384	30	7163	5	NA	NA	NA
Guatemala	2011	6817	64	6707	3	NA	NA	NA
Guatemala	2012	5346	54	5278	14	NA	NA	NA
Guatemala	2013	6214	101	6062	51	NA	NA	NA
Guatemala	2014	4929	24	4838	67	NA	2	NA
Guatemala	2015	5538	43	5487	8	NA	2	NA
Guatemala	2016	5000	4	4849	0	NA	1	NA
Guatemala	2017	4121	0	4121	0	NA	3	NA
Guatemala	2018	3018	0	3018	NA	NA	3	NA
Guatemala	2019	2069	0	2069	0	NA	3	NA
Guatemala	2020	1058	0	1058	0	NA	0	NA
Guatemala	2021	1273	0	1273	NA	NA	NA	NA
Haiti	2010	84153	84153	0	0	0	NA	NA
Haiti	2011	34350	32969	0	0	0	NA	NA
Haiti	2012	27866	25423	0	0	0	NA	NA
Haiti	2013	26543	20957	0	0	0	NA	NA
Haiti	2014	17696	17696	0	0	0	NA	NA
Haiti	2015	17583	17583	0	0	0	NA	NA
Haiti	2016	21430	21430	0	0	0	NA	NA
Haiti	2017	19135	19135	0	0	0	NA	NA
Haiti	2018	8828	8828	0	0	0	NA	NA
Haiti	2019	10687	10687	0	0	0	NA	NA
Haiti	2020	22996	22996	0	0	0	NA	NA
Haiti	2021	9513	9513	0	0	0	NA	NA
Suriname	2010	1771	638	817	83	36	NA	NA
Suriname	2011	795	331	382	21	17	NA	NA
Suriname	2012	569	161	180	13	2	NA	NA
Suriname	2013	5254	322	322	85	NA	204	NA
Suriname	2014	401	165	78	158	NA	NA	NA
Suriname	2015	81	17	61	3	NA	295	0
Suriname	2016	78	6	69	1	NA	251	0
Suriname	2017	137	33	99	5	NA	414	0
Suriname	2018	37	5	12	1	NA	198	1
Suriname	2019	104	0	104	0	NA	111	0
Suriname	2020	156	0	156	0	NA	88	0
Suriname	2021	22	0	22	0	NA	53	2
Bangladesh	2010	55873	52012	3824	37	NA	NA	NA
Bangladesh	2011	51773	49084	2579	110	NA	NA	NA
Bangladesh	2012	29518	27651	1699	168	NA	NA	NA
Bangladesh	2013	26891	25815	983	93	NA	NA	NA
Bangladesh	2014	57480	41261	3348	12871	NA	NA	NA
Bangladesh	2015	39590	26453	4000	9137	NA	129	NA
Bangladesh	2016	27628	17269	3297	7062	NA	109	NA
Bangladesh	2017	29228	23315	4442	1471	NA	19	NA
Bangladesh	2018	10482	8470	1672	340	NA	41	NA
Bangladesh	2019	17219	14752	2126	341	NA	6	NA
Bangladesh	2020	6128	4744	1245	139	NA	2	NA
Bangladesh	2021	7288	4992	1953	343	NA	6	NA
Myanmar	2010	420808	388464	29944	2054	346	NA	NA
Myanmar	2011	465294	433146	28966	3020	162	NA	NA
Myanmar	2012	481204	314676	135386	31039	103	NA	NA
Myanmar	2013	333871	222770	98860	12216	25	NA	NA
Myanmar	2014	205658	138311	61830	5511	6	NA	NA
Myanmar	2015	182465	110449	65536	6624	7	NA	NA
Myanmar	2016	110146	62917	43748	3476	5	NA	NA
Myanmar	2017	85019	50730	32070	2214	5	NA	NA
Myanmar	2018	76518	38483	36502	1530	3	NA	NA
Myanmar	2019	56410	23017	32788	606	4	NA	NA
Myanmar	2020	588274	15191	43578	407	0	9	NA
Myanmar	2021	79000	14614	63909	523	0	1	NA
Nepal	2010	3894	550	2349	216	NA	NA	NA
Nepal	2011	2335	240	1208	30	NA	1079	NA
Nepal	2012	2204	184	888	NA	NA	1026	NA
Nepal	2013	1974	273	1659	22	NA	NA	NA
Nepal	2014	832	81	693	58	NA	667	NA
Nepal	2015	591	67	504	20	NA	521	NA
Nepal	2016	507	61	433	13	NA	502	NA
Nepal	2017	623	25	587	11	NA	670	NA
Nepal	2018	493	5	488	0	NA	539	NA
Nepal	2019	127	9	118	0	NA	579	NA
Nepal	2020	73	5	68	NA	NA	357	NA
Nepal	2021	32	3	29	0	NA	359	NA
Timor-Leste	2010	48139	36239	11432	468	NA	NA	NA
Timor-Leste	2011	19735	14261	3754	1720	NA	NA	NA
Timor-Leste	2012	5208	1962	2288	958	NA	NA	NA
Timor-Leste	2013	1025	373	512	140	NA	NA	NA
Timor-Leste	2014	342	118	139	85	NA	NA	NA
Timor-Leste	2015	80	33	24	23	0	NA	NA
Timor-Leste	2016	81	46	7	28	0	10	2
Timor-Leste	2017	16	4	3	9	0	13	0
Timor-Leste	2018	0	0	0	0	0	7	1
Timor-Leste	2019	0	0	0	0	0	9	0
Timor-Leste	2020	3	2	0	1	0	7	4
Timor-Leste	2021	0	0	0	0	0	0	0
Afghanistan	2010	69798	6142	63255	NA	NA	NA	NA
Afghanistan	2011	77549	5581	71968	NA	NA	NA	NA
Afghanistan	2012	54840	1231	53609	NA	NA	NA	NA
Afghanistan	2013	52965	1877	43369	NA	NA	NA	NA
Afghanistan	2014	106478	3000	58362	NA	NA	NA	NA
Afghanistan	2015	119859	4004	82891	NA	NA	NA	NA
Afghanistan	2016	241233	6369	132407	311	NA	NA	NA
Afghanistan	2017	313086	6907	154468	403	NA	NA	NA
Afghanistan	2018	248689	6437	166583	473	NA	NA	NA
Afghanistan	2019	173860	2701	170747	412	NA	NA	NA
Afghanistan	2020	105295	2691	102316	288	NA	NA	NA
Afghanistan	2021	86263	3921	82094	248	NA	NA	NA
Iran	2010	1847	166	1656	25	NA	1184	NA
Iran	2011	1632	152	1502	56	NA	1529	78
Iran	2012	756	44	711	32	NA	842	12
Iran	2013	480	72	426	22	NA	853	26
Iran	2014	358	21	351	4	NA	867	7
Iran	2015	167	8	157	1	NA	632	24
Iran	2016	81	0	79	2	NA	611	8
Iran	2017	57	2	55	NA	NA	868	13
Iran	2018	0	0	0	0	NA	602	20
Iran	2019	0	0	0	0	NA	1107	85
Iran	2020	0	0	0	0	NA	878	171
Iran	2021	0	0	0	0	NA	821	178
Azerbaijan	2010	50	NA	50	0	0	2	NA
Azerbaijan	2011	4	NA	4	0	0	4	NA
Azerbaijan	2012	3	NA	3	0	0	1	NA
Azerbaijan	2013	0	NA	0	0	0	4	NA
Azerbaijan	2014	0	NA	0	0	0	2	NA
Azerbaijan	2015	0	NA	0	0	0	1	NA
Azerbaijan	2016	0	NA	0	0	0	1	NA
Azerbaijan	2017	0	NA	0	0	0	1	NA
Azerbaijan	2018	0	NA	0	0	0	2	NA
Azerbaijan	2019	0	NA	0	0	0	NA	NA
Azerbaijan	2020	NA	NA	NA	NA	0	NA	NA
Azerbaijan	2021	NA	NA	NA	NA	NA	NA	NA
Tajikistan	2010	112	1	111	NA	NA	4	0
Tajikistan	2011	78	5	73	NA	NA	22	0
Tajikistan	2012	28	NA	NA	NA	NA	11	15
Tajikistan	2013	4	NA	NA	NA	NA	10	11
Tajikistan	2014	2	NA	NA	NA	NA	5	0
Tajikistan	2015	0	0	0	0	0	4	0
Tajikistan	2016	0	0	0	0	0	1	0
Tajikistan	2017	0	0	0	0	0	3	0
Tajikistan	2018	0	0	0	0	0	NA	NA
Tajikistan	2019	0	0	0	0	0	3	NA
Tajikistan	2020	0	0	0	0	0	NA	NA
Tajikistan	2021	NA	NA	NA	NA	NA	NA	NA
